id,name,role,created_at,updated_at,deleted_at
1152,Yuni Haryanti,admin,2007-12-24 20:22:31,2009-09-27 05:46:42,2024-05-05 13:18:23
7633,Latika Waluyo,admin,2024-01-14 19:58:12,2002-07-28 20:06:15,2024-01-23 08:19:17
8797,"Bakiono Haryanti, S.Gz",super_admin,1979-04-09 11:35:46,1988-01-04 14:42:48,2024-04-30 06:20:46
6064,Sari Nasyiah,super_admin,2002-04-07 05:54:46,1996-10-31 03:32:12,2024-04-26 01:46:07
1224,Drs. Indah Simbolon,super_admin,1974-02-10 06:38:54,1981-05-10 13:52:39,2024-01-09 22:32:33
7091,Wirda Mulyani,admin,1995-08-14 22:53:51,2002-04-21 19:10:24,2024-01-13 03:30:58
7580,Wulan Sihombing,super_admin,2018-07-07 04:37:24,2013-11-06 07:12:41,2024-03-19 22:09:25
8253,Vinsen Halimah,admin,1978-03-08 03:48:40,1990-03-11 09:22:39,2024-04-12 01:55:04
7355,Dr. Raisa Hasanah,admin,2011-11-11 09:38:55,2023-11-09 15:38:33,2024-05-25 11:06:25
5760,Eja Sihotang,admin,1979-09-06 15:21:51,2005-09-07 09:44:43,2024-02-17 19:50:26
8804,Prima Budiyanto,super_admin,1978-10-01 19:24:02,1988-12-13 08:20:38,2024-03-23 07:34:16
2753,"R. Indah Nasyiah, S.Gz",super_admin,1975-06-15 05:50:09,2000-03-14 20:29:29,2024-03-15 02:43:16
7824,Wage Wahyuni,admin,1986-12-20 20:59:35,1979-11-13 11:18:55,2024-05-17 17:06:40
4985,Puti Cindy Saefullah,admin,2017-02-21 03:49:02,1975-12-21 00:46:50,2024-01-24 16:20:57
737,Jamalia Tarihoran,admin,1986-03-02 17:05:19,1971-08-23 13:45:59,2024-05-27 00:53:02
8870,"Vega Novitasari, M.Farm",super_admin,1999-10-06 20:34:35,1970-12-17 17:53:24,2024-02-20 05:41:54
920,"Ir. Jabal Hidayanto, S.Pd",admin,1980-02-01 16:38:25,2013-03-21 12:25:15,2024-02-24 06:48:41
4250,"R.A. Yuni Wulandari, S.I.Kom",admin,2002-07-26 18:29:17,1994-04-11 07:14:58,2024-06-03 19:39:27
7272,"Koko Siregar, S.E.I",super_admin,2015-06-29 17:07:02,1994-10-01 07:52:11,2024-01-12 20:57:15
8471,Teddy Sitorus,super_admin,2009-05-08 07:37:34,2001-05-04 23:14:40,2024-06-11 00:16:53
2400,Shakila Nababan,admin,1973-05-13 11:17:19,2010-11-01 23:55:06,2024-03-19 02:05:57
9564,Cinthia Prayoga,admin,2019-09-22 23:41:53,2013-11-20 08:11:30,2024-01-01 19:48:30
5229,Anastasia Hakim,super_admin,2017-03-24 00:32:04,1997-05-01 11:07:56,2024-05-07 14:58:43
2190,Prayoga Maulana,admin,1989-03-21 04:46:01,1974-11-25 13:58:45,2024-04-05 00:52:04
6168,"R. Galiono Simbolon, M.Pd",admin,2003-06-15 11:21:30,2019-02-23 21:46:42,2024-03-17 08:10:59
2475,"Dr. Gasti Simanjuntak, S.E.I",admin,2022-02-06 17:56:45,1983-08-15 06:45:10,2024-03-31 08:10:52
360,Rini Simbolon,super_admin,2004-04-28 12:23:33,1995-04-10 23:54:15,2024-01-28 21:57:40
387,Puti Cinta Prakasa,super_admin,1996-12-28 02:18:07,1970-09-20 15:39:27,2024-04-05 08:24:20
9060,Hana Suwarno,admin,1991-01-04 23:52:26,2004-08-15 09:43:24,2024-01-05 14:57:33
