id,name,email,phone_number,point,gender,birth_date,address,badge,created_at,updated_at,deleted_at
1652,Sutan Perkasa Gunarto,pangestu80@example.net,4095575436283410,481,perempuan,1952-01-24,"Gg. Moch. Toha No. 96
Cilegon, NT 39220",silver,2011-03-10 00:19:57,2011-06-20 04:21:59,2024-01-30 20:00:49
6408,"Dr. Luhung Mandala, S.E.",drajatirawan@example.net,8117052427898159,520,laki-laki,1989-04-20,"Jl. Cikutra Timur No. 81
Kota Administrasi Jakarta Pusat, Sulawesi Tengah 94215",bronze,1997-06-16 14:23:18,2006-07-18 22:21:02,2024-01-15 18:08:10
3495,Jayadi Winarno,ratnamandasari@example.org,5197064178485313,471,laki-laki,1951-08-21,"Gg. Pasir Koja No. 54
Sibolga, KS 54439",silver,2011-02-21 01:07:22,2022-08-01 18:25:59,2024-03-31 23:36:41
2583,"Padmi Sirait, S.E.I",qpalastri@example.net,5173900200274936,55,perempuan,1938-06-28,"Gang Raya Setiabudhi No. 34
Binjai, Nusa Tenggara Timur 91233",bronze,1981-11-07 04:57:23,1989-09-24 07:07:58,2024-01-29 15:23:14
2409,"Dr. Pangestu Rajata, M.Kom.",wahyunidina@example.net,8107290658314112,348,perempuan,1973-09-05,"Jl. Cihampelas No. 7
Samarinda, KS 79889",platinum,2004-08-04 10:47:10,1983-03-14 04:09:41,2024-02-17 00:15:54
6511,Tgk. Dasa Usamah,siregaremin@example.org,6004039611881754,658,laki-laki,1918-12-03,"Jalan Wonoayu No. 782
Prabumulih, AC 66439",silver,2019-07-23 13:12:29,1977-01-02 08:39:18,2024-05-31 12:36:27
5631,Bagas Tamba,tampubolonmartaka@example.com,6308549775399519,479,perempuan,1923-02-22,"Jl. Siliwangi No. 05
Ambon, Papua 08587",silver,2016-05-15 20:18:37,2023-02-05 13:15:48,2024-02-12 12:35:20
2441,Hilda Sihotang,bambangkuswandari@example.org,1675277266560335,75,perempuan,1998-05-16,"Jl. Abdul Muis No. 49
Kota Administrasi Jakarta Selatan, Sulawesi Barat 77551",bronze,2018-10-21 22:12:46,1982-11-25 15:38:36,2024-05-27 23:13:02
2943,Dina Uyainah,haryantigada@example.org,9953591129408905,824,laki-laki,1963-02-08,"Jl. Rajawali Barat No. 47
Tegal, Nusa Tenggara Timur 24293",bronze,1975-04-09 07:46:03,2015-09-04 20:27:50,2024-05-11 08:42:50
9945,Yani Yuniar,mardhiyahdanu@example.com,4936472098754781,756,perempuan,2023-07-20,"Gg. H.J Maemunah No. 5
Padangpanjang, Kalimantan Barat 42018",gold,1996-04-10 18:44:50,1974-05-01 09:28:00,2024-05-05 08:19:42
7775,Ghaliyati Lailasari,uyuliarti@example.com,8583238906368739,435,laki-laki,1934-11-07,"Gg. PHH. Mustofa No. 204
Tanjungpinang, Bengkulu 98071",gold,2013-02-04 17:45:34,1992-08-05 11:32:49,2024-03-23 11:11:48
9846,Tgk. Margana Sinaga,ysimanjuntak@example.net,3033594773891887,578,perempuan,2005-10-10,"Gg. Raya Ujungberung No. 94
Payakumbuh, SB 86041",silver,1995-05-09 03:05:44,1978-07-06 17:02:24,2024-06-09 12:18:46
2555,Tgk. Ella Permata,wagenapitupulu@example.org,4519855580646287,282,laki-laki,2003-09-05,"Gang Indragiri No. 0
Tangerang, NB 08517",silver,2010-10-15 09:22:38,1987-03-16 04:10:45,2024-04-08 03:50:24
7765,Emas Anggriawan,pujikusumo@example.net,6701870763144421,489,perempuan,2020-04-29,"Jalan KH Amin Jasuta No. 9
Gorontalo, Papua Barat 90124",gold,1975-03-20 13:39:15,2005-06-23 02:31:25,2024-03-29 05:09:52
4048,Halim Nurdiyanti,lfirmansyah@example.org,4522241352433070,170,laki-laki,1998-03-18,"Jalan Raya Setiabudhi No. 1
Payakumbuh, YO 40844",platinum,1989-04-15 03:51:38,2022-02-09 19:43:16,2024-03-03 19:25:08
3871,"drg. Kasusra Laksita, S.Sos",saragihdrajat@example.com,2161987460162041,810,laki-laki,2016-06-10,"Gg. Pelajar Pejuang No. 38
Banjarbaru, Kalimantan Timur 16122",platinum,2022-08-17 12:34:37,2021-07-23 02:21:07,2024-03-13 16:33:36
443,"Balijan Firgantoro, S.Farm",kanilestari@example.net,6297095491482224,624,perempuan,1941-10-29,"Jalan Suryakencana No. 14
Lhokseumawe, JK 79011",silver,1992-06-28 13:33:31,1985-10-06 02:28:41,2024-01-27 21:25:08
9318,"Taufan Maryadi, S.Ked",carubyuliarti@example.org,6369014294848774,952,perempuan,1936-05-14,"Gang Rawamangun No. 11
Bogor, Sumatera Selatan 83753",silver,2015-06-15 19:02:20,2006-05-05 20:59:59,2024-05-25 23:34:46
8183,"Drs. Jaswadi Budiyanto, S.Sos",tami52@example.org,8034264861368073,634,perempuan,1951-12-13,"Gg. Kendalsari No. 3
Bukittinggi, SU 73034",platinum,1985-11-18 02:51:48,1989-11-03 20:42:28,2024-01-20 03:27:19
5930,"Diana Iswahyudi, S.I.Kom",haditamba@example.com,4395497155943815,761,perempuan,1998-01-14,"Jalan Moch. Toha No. 56
Tual, Maluku 82061",silver,2001-04-06 19:36:07,1979-12-31 03:33:11,2024-01-30 12:20:27
