id,name,role,created_at,updated_at,deleted_at
7939,Dacin Aryani,admin,1985-05-31 19:51:24,2020-11-27 02:44:51,2024-02-15 20:51:18
5649,"Padma Mangunsong, M.TI.",admin,1973-11-29 15:23:46,1997-04-05 06:14:29,2024-01-14 14:29:05
787,"Hj. Novi Puspasari, S.E.",admin,2017-07-14 03:52:56,2014-02-15 23:27:22,2024-02-25 18:07:21
3983,Amalia Januar,admin,1970-02-09 14:35:27,2015-06-22 09:32:11,2024-05-06 03:12:23
8000,Drs. Halima Sihombing,admin,1976-04-16 13:32:36,2005-05-25 21:48:51,2024-05-31 01:31:18
8359,Lanjar Anggraini,admin,1995-05-31 20:41:56,1995-09-30 04:50:20,2024-01-12 23:38:48
6572,Maria Mardhiyah,admin,2018-07-06 09:00:28,2008-03-07 17:17:17,2024-04-14 14:44:02
9252,T. Hasim Kuswoyo,super_admin,1998-11-15 08:29:19,1983-06-15 21:10:11,2024-03-18 21:49:08
9959,Balangga Widiastuti,admin,2017-03-05 21:01:13,1973-08-04 09:35:43,2024-03-26 02:32:48
9136,Eko Waskita,admin,1977-02-14 08:04:00,1996-07-26 09:35:13,2024-02-16 10:47:01
104,Hairyanto Utama,super_admin,2012-04-19 09:42:51,2021-06-18 05:38:57,2024-05-22 20:30:37
7245,Drs. Harjo Firmansyah,admin,1980-04-13 05:22:21,2018-08-23 09:43:53,2024-05-21 00:18:13
3345,Bagus Susanti,super_admin,1975-10-20 01:12:38,1974-08-11 16:21:10,2024-05-07 05:31:12
4106,drg. Leo Lestari,super_admin,1975-03-09 21:07:15,1973-06-29 05:10:36,2024-05-18 05:38:19
2666,Prayitna Rahmawati,super_admin,1971-08-19 09:03:03,1970-09-13 21:39:04,2024-04-17 02:12:16
354,Drs. Dono Simanjuntak,super_admin,1983-01-05 12:49:51,1975-03-11 00:06:15,2024-03-07 14:39:21
9995,"T. Adika Winarno, S.T.",admin,2001-07-15 00:24:37,2019-05-16 00:06:45,2024-02-26 18:25:48
7024,Rachel Zulkarnain,super_admin,1972-03-26 13:43:30,2010-09-26 22:33:52,2024-04-16 20:50:51
4326,"Putu Farida, S.Pt",admin,1973-07-09 07:21:18,1976-01-10 00:35:39,2024-01-16 16:27:14
1222,"Ir. Harjaya Waskita, S.Sos",super_admin,2018-10-10 10:55:45,1977-12-01 13:24:13,2024-02-22 00:30:10
9883,Ghaliyati Hasanah,admin,2002-04-13 06:58:08,2001-06-18 12:45:40,2024-03-04 03:16:33
825,Sutan Balidin Hidayat,admin,1997-04-24 04:40:20,2012-02-14 01:06:30,2024-04-14 14:56:15
5133,Karen Hidayat,admin,2002-08-07 01:32:23,2000-03-31 10:35:18,2024-05-26 07:58:50
8454,Taufan Wastuti,super_admin,2011-06-16 20:49:08,2011-06-18 17:37:07,2024-04-25 10:29:30
333,Cahya Nurdiyanti,admin,1981-10-12 09:27:48,2014-07-11 18:35:32,2024-02-18 00:54:24
1935,Paiman Hardiansyah,admin,2017-09-13 01:53:31,1975-08-28 05:22:33,2024-01-14 15:41:04
