id,name,email,password,point,gender,birth_date,address,picture_url,otp,is_verified,badge,created_at,updated_at,deleted_at
USR0001,Clinton Swaniawski,joshuahmante@kassulke.com,$2a$12$5KC.m.K50I2uW4xVUDxQyOrLUraC1kbr88y2/LeCC97FQtECWGpQa,386284,perempuan,1998-06-20,"Jalan Malioboro, Yogyakarta, Indonesia",https://picsum.photos/200/200,570177,1,platinum,2024-03-24 06:25:37.000,2024-06-15 13:03:32.991,2024-06-16 17:35:04.506
USR0002,Joelle Mann,ollieflatley@kunze.biz,$2a$12$5KC.m.K50I2uW4xVUDxQyOrLUraC1kbr88y2/LeCC97FQtECWGpQa,320221,perempuan,2003-05-16,"Jalan Tunjungan, Surabaya, Indonesia",https://picsum.photos/200/200,137299,1,platinum,2024-06-01 18:01:58.000,2024-06-15 13:03:32.995,
USR0003,Austen Pfeffer,brodyhoeger@halvorson.biz,$2a$12$5KC.m.K50I2uW4xVUDxQyOrLUraC1kbr88y2/LeCC97FQtECWGpQa,48539,laki-laki,1976-04-17,"Jalan Gatot Subroto, Jakarta, Indonesia",https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718791147/recything/avatar/utuqvbe5getvmml0x5oc.png,556740,1,classic,2024-06-17 04:21:57.000,2024-06-21 04:00:52.658,
USR0004,Joanie Turcotte,metapredovic@daniel.org,$2a$12$5KC.m.K50I2uW4xVUDxQyOrLUraC1kbr88y2/LeCC97FQtECWGpQa,165135,perempuan,1994-12-02,"Jalan Panglima Polim, Jakarta, Indonesia",https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718808018/recything/avatar/tf6teervopjudn7a2c5z.png,419910,1,gold,2024-06-02 15:56:00.000,2024-06-20 09:45:26.489,
USR0005,Toney Kirlin,lorenhermann@gorczany.info,$2a$12$5KC.m.K50I2uW4xVUDxQyOrLUraC1kbr88y2/LeCC97FQtECWGpQa,46700,laki-laki,1976-05-27,"Jalan Panglima Polim, Jakarta, Indonesia",https://picsum.photos/200/200,440526,1,classic,2024-02-05 07:36:27.000,2024-06-20 12:06:05.847,2024-06-20 19:37:15.847
USR0006,Jules Greenholt,jadegleichner@grady.com,$2a$12$5KC.m.K50I2uW4xVUDxQyOrLUraC1kbr88y2/LeCC97FQtECWGpQa,374048,perempuan,1990-12-31,"Jalan Medan Merdeka Selatan, Jakarta, Indonesia",https://picsum.photos/200/200,512978,1,platinum,2024-05-18 05:22:07.000,2024-06-15 13:03:33.013,
USR0007,Betsy Kuvalis,eldridgezboncak@predovic.com,$2a$12$5KC.m.K50I2uW4xVUDxQyOrLUraC1kbr88y2/LeCC97FQtECWGpQa,304752,perempuan,1995-12-24,"Jalan Asia Afrika, Bandung, Indonesia",https://picsum.photos/200/200,227606,1,platinum,2024-05-06 04:21:51.000,2024-06-20 09:59:11.158,
USR0008,Mariah Muller,dashawnhaag@ankunding.info,$2a$12$5KC.m.K50I2uW4xVUDxQyOrLUraC1kbr88y2/LeCC97FQtECWGpQa,164312,laki-laki,1981-12-10,"Jalan MH Thamrin, Jakarta, Indonesia",https://picsum.photos/200/200,806922,1,gold,2024-01-19 05:28:38.000,2024-06-15 13:03:33.022,
USR0009,Ettie Steuber,valliearmstrong@jones.io,$2a$12$5KC.m.K50I2uW4xVUDxQyOrLUraC1kbr88y2/LeCC97FQtECWGpQa,163746,perempuan,2000-06-24,"Jalan MH Thamrin, Jakarta, Indonesia",https://picsum.photos/200/200,546920,1,gold,2024-05-01 05:04:01.000,2024-06-15 13:03:33.026,
USR0010,Irving Frami,winonabeier@crona.biz,$2a$12$5KC.m.K50I2uW4xVUDxQyOrLUraC1kbr88y2/LeCC97FQtECWGpQa,202095,laki-laki,1970-08-13,"Jalan Malioboro, Yogyakarta, Indonesia",https://picsum.photos/200/200,998368,1,gold,2024-04-06 04:16:07.000,2024-06-15 13:03:33.030,
